,applystudent2,school2,applystudent1,datetime,school1
351,21,양지고,20,2020-04-08 21:56:03.676991,다정고
352,21,양지고,20,2020-04-08 21:56:08.948288,다정고
353,21,양지고,20,2020-04-08 21:56:14.200403,다정고
354,21,양지고,20,2020-04-08 21:56:19.467017,다정고
355,21,양지고,20,2020-04-08 21:56:24.734360,다정고
356,21,양지고,20,2020-04-08 21:56:30.002271,다정고
357,21,양지고,20,2020-04-08 21:56:35.272779,다정고
358,21,양지고,20,2020-04-08 21:56:40.547274,다정고
359,21,양지고,20,2020-04-08 21:56:45.810659,다정고
360,21,양지고,20,2020-04-08 21:56:51.122991,다정고
361,21,양지고,20,2020-04-08 21:56:56.538979,다정고
362,21,양지고,20,2020-04-08 21:57:01.836548,다정고
363,21,양지고,20,2020-04-08 21:57:07.198211,다정고
364,21,양지고,20,2020-04-08 21:57:12.527590,다정고
365,21,양지고,20,2020-04-08 21:57:17.873824,다정고
366,21,양지고,20,2020-04-08 21:57:23.186424,다정고
367,21,양지고,20,2020-04-08 21:57:28.435490,다정고
368,21,양지고,20,2020-04-08 21:57:33.688785,다정고
369,21,양지고,20,2020-04-08 21:57:38.955907,다정고
370,21,양지고,20,2020-04-08 21:57:44.213728,다정고
371,21,양지고,20,2020-04-08 21:57:49.480514,다정고
372,21,양지고,20,2020-04-08 21:57:55.018851,다정고
373,21,양지고,20,2020-04-08 21:58:00.271578,다정고
374,21,양지고,20,2020-04-08 21:58:05.529671,다정고
375,21,양지고,20,2020-04-08 21:58:10.784198,다정고
376,21,양지고,20,2020-04-08 21:58:16.046848,다정고
377,21,양지고,20,2020-04-08 21:58:21.299290,다정고
378,21,양지고,20,2020-04-08 21:58:26.556676,다정고
379,21,양지고,20,2020-04-08 21:58:31.807281,다정고
380,21,양지고,20,2020-04-08 21:58:37.713535,다정고
381,21,양지고,20,2020-04-08 21:58:42.977728,다정고
382,21,양지고,20,2020-04-08 21:58:48.231245,다정고
383,21,양지고,20,2020-04-08 21:58:53.497794,다정고
384,21,양지고,20,2020-04-08 21:58:58.767931,다정고
385,21,양지고,20,2020-04-08 21:59:04.032822,다정고
386,21,양지고,20,2020-04-08 21:59:09.292259,다정고
387,21,양지고,20,2020-04-08 21:59:14.643017,다정고
388,21,양지고,20,2020-04-08 21:59:20.033737,다정고
389,21,양지고,20,2020-04-08 21:59:25.314829,다정고
390,21,양지고,20,2020-04-08 21:59:30.610575,다정고
391,21,양지고,20,2020-04-08 21:59:35.889997,다정고
392,21,양지고,20,2020-04-08 21:59:41.165047,다정고
393,21,양지고,20,2020-04-08 21:59:46.495802,다정고
394,21,양지고,20,2020-04-08 21:59:52.151095,다정고
395,21,양지고,20,2020-04-08 21:59:57.399747,다정고
396,21,양지고,20,2020-04-08 22:00:02.660709,다정고
397,21,양지고,20,2020-04-08 22:00:07.956094,다정고
398,21,양지고,20,2020-04-08 22:00:13.225976,다정고
399,21,양지고,20,2020-04-08 22:00:18.510142,다정고
400,21,양지고,20,2020-04-08 22:00:23.792272,다정고
401,21,양지고,20,2020-04-08 22:00:29.059537,다정고
402,21,양지고,20,2020-04-08 22:00:34.376545,다정고
403,21,양지고,20,2020-04-08 22:00:39.716863,다정고
404,21,양지고,20,2020-04-08 22:00:45.004292,다정고
405,21,양지고,20,2020-04-08 22:00:50.266712,다정고
406,21,양지고,20,2020-04-08 22:00:55.523818,다정고
407,21,양지고,20,2020-04-08 22:01:00.777249,다정고
408,21,양지고,20,2020-04-08 22:01:06.028157,다정고
409,21,양지고,20,2020-04-08 22:01:11.280612,다정고
410,21,양지고,20,2020-04-08 22:01:16.543518,다정고
411,21,양지고,20,2020-04-08 22:01:21.804494,다정고
412,21,양지고,20,2020-04-08 22:01:27.073927,다정고
413,21,양지고,20,2020-04-08 22:01:32.332966,다정고
414,21,양지고,20,2020-04-08 22:01:37.597443,다정고
415,21,양지고,20,2020-04-08 22:01:42.850849,다정고
